Customer_ID,Age,Gender,Marital_Status,Region,Loyalty_Score,Frequency,Recency,Discount_Response_Rate,Average_Basket_Value,Annual_Expenditure,Customer_Type,Channel_Preference,Tenure_Years,Returns_Rate,Satisfaction_Score,Category_Pref
CUST_00001,45,Male,Single,South,5.09769678641897,9,249,0.5,247.68,26749.44,Occasional,In-Store,5.2,0.03,3,Snacks
CUST_00002,38,Male,Single,South,3.666709614084044,9,110,0.45,354.34,38268.72,Regular,In-Store,5.4,0.03,3,Beverages
CUST_00003,47,Male,Divorced,East,5.993475513551437,6,30,0.28,252.1,18151.2,Occasional,In-Store,5.3,0.07,3,Beverages
CUST_00004,58,Male,Married,South,2.683996386955536,5,358,0.05,123.1,7386.0,Regular,In-Store,7.6,0.01,3,Snacks
CUST_00005,37,Male,Single,North,9.329785178202915,6,85,0.28,106.38,7659.36,Brand-Loyal,Online,9.7,0.02,2,Personal_Care
CUST_00006,37,Female,Single,East,7.634702609304023,2,30,0.52,248.45,5962.8,Occasional,In-Store,9.6,0.19,3,Household
CUST_00007,58,Female,Single,West,6.968592890394092,8,336,0.34,130.37,12515.52,Occasional,In-Store,2.4,0.04,4,Household
CUST_00008,49,Female,Divorced,East,2.219141988420381,8,319,0.03,199.23,19126.08,Occasional,In-Store,5.6,0.08,1,Snacks
CUST_00009,34,Male,Single,South,5.410826540915502,8,264,0.76,242.71,23300.16,Discount-Seeker,Online,5.5,0.03,3,Beverages
CUST_00010,46,Male,Widowed,East,7.418172796028009,7,219,0.17,129.6,10886.4,Occasional,Mixed,1.3,0.08,1,Dairy
CUST_00011,34,Male,Divorced,South,6.186210798715479,4,128,0.17,265.13,12726.24,Brand-Loyal,In-Store,7.0,0.03,2,Snacks
CUST_00012,34,Female,Single,North,2.99578179073245,7,289,0.23,211.25,17745.0,Occasional,Mixed,7.6,0.2,2,Snacks
CUST_00013,42,Female,Single,East,3.6998124893826896,9,299,0.19,221.37,23907.96,Discount-Seeker,In-Store,8.7,0.09,5,Snacks
CUST_00014,18,Female,Divorced,North,4.096127723988019,13,76,0.25,143.05,22315.8,Regular,Online,7.4,0.04,2,Beverages
CUST_00015,19,Male,Single,North,3.793124331022785,6,299,0.5,165.35,11905.2,Occasional,Online,1.3,0.04,2,Snacks
CUST_00016,33,Female,Single,West,8.057557671420614,8,45,0.23,522.79,50187.84,Brand-Loyal,Online,9.2,0.05,3,Snacks
CUST_00017,27,Male,Single,North,1.1579737223534878,10,234,0.33,409.32,49118.4,Discount-Seeker,Mixed,2.2,0.01,1,Household
CUST_00018,43,Female,Married,West,6.311838279317673,3,244,0.49,99.26,3573.36,Brand-Loyal,In-Store,6.1,0.05,3,Household
CUST_00019,29,Female,Married,East,2.4153932501430977,7,238,0.42,296.44,24900.96,Regular,Mixed,6.5,0.02,3,Household
CUST_00020,23,Female,Single,West,3.0774970250978644,7,115,0.23,130.04,10923.36,Regular,In-Store,1.6,0.05,2,Snacks
CUST_00021,57,Female,Single,North,1.0,14,164,0.24,179.37,30134.16,Regular,Mixed,3.5,0.14,5,Snacks
CUST_00022,37,Male,Divorced,East,3.9018911376822683,7,281,0.13,103.98,8734.32,Discount-Seeker,In-Store,3.1,0.16,3,Household
CUST_00023,40,Female,Married,South,8.021463303078427,13,213,0.27,171.13,26696.28,Brand-Loyal,Mixed,7.1,0.03,3,Household
CUST_00024,22,Female,Married,West,5.529648484929556,4,293,0.16,168.11,8069.28,Regular,Mixed,6.3,0.04,3,Beverages
CUST_00025,33,Male,Married,South,2.603276906001806,5,121,0.07,119.0,7140.0,Discount-Seeker,Online,4.3,0.06,2,Dairy
CUST_00026,41,Male,Married,South,7.034295348758625,9,56,0.58,133.7,14439.6,Regular,Mixed,1.7,0.02,3,Household
