Customer_ID,Age,Gender,Marital_Status,Region,Loyalty_Score,Frequency,Recency,Discount_Response_Rate,Average_Basket_Value,Annual_Expenditure,Customer_Type,Channel_Preference,Tenure_Years,Returns_Rate,Satisfaction_Score,Category_Pref,Cluster,TSNE-1,TSNE-2
0,45,1,2,2,5.09769678641897,9,249,0.5,247.68,26749.44,2,0,5.2,0.03,3,4,0,51.16423,-32.031082
1,38,1,2,2,3.666709614084044,9,110,0.45,354.34,38268.72,3,0,5.4,0.03,3,0,0,40.690742,-14.309503
2,47,1,0,0,5.993475513551437,6,30,0.28,252.1,18151.2,2,0,5.3,0.07,3,0,0,30.672888,-36.076515
3,58,1,1,2,2.683996386955536,5,358,0.05,123.1,7386.0,3,0,7.6,0.01,3,4,0,37.2017,-35.28748
4,37,1,2,1,9.329785178202917,6,85,0.28,106.38,7659.36,0,2,9.7,0.02,2,3,0,-8.028957,-51.86862
5,37,0,2,0,7.634702609304023,2,30,0.52,248.45,5962.8,2,0,9.6,0.19,3,2,0,-36.518707,-5.3611655
6,58,0,2,3,6.968592890394092,8,336,0.34,130.37,12515.52,2,0,2.4,0.04,4,2,0,-23.435564,20.50365
7,49,0,0,0,2.219141988420381,8,319,0.03,199.23,19126.08,2,0,5.6,0.08,1,4,0,-17.10025,26.790318
8,34,1,2,2,5.410826540915502,8,264,0.76,242.71,23300.16,1,2,5.5,0.03,3,0,0,-1.3778177,-58.54719
9,46,1,3,0,7.418172796028009,7,219,0.17,129.6,10886.4,2,1,1.3,0.08,1,1,0,32.07756,-43.677715
10,34,1,0,2,6.186210798715479,4,128,0.17,265.13,12726.24,0,0,7.0,0.03,2,4,0,30.487423,-29.961512
11,34,0,2,1,2.99578179073245,7,289,0.23,211.25,17745.0,2,1,7.6,0.2,2,4,0,-23.392776,-15.227895
12,42,0,2,0,3.6998124893826896,9,299,0.19,221.37,23907.96,1,0,8.7,0.09,5,4,0,-14.044257,37.06711
13,18,0,0,1,4.096127723988019,13,76,0.25,143.05,22315.8,3,2,7.4,0.04,2,0,0,-64.31857,29.926218
14,19,1,2,1,3.793124331022785,6,299,0.5,165.35,11905.2,2,2,1.3,0.04,2,4,0,-12.733794,-47.598392
15,33,0,2,3,8.057557671420614,8,45,0.23,522.79,50187.84,0,2,9.2,0.05,3,4,0,34.87515,47.552372
16,27,1,2,1,1.1579737223534878,10,234,0.33,409.32,49118.4,1,1,2.2,0.01,1,2,0,34.400166,19.010958
17,43,0,1,3,6.311838279317673,3,244,0.49,99.26,3573.36,0,0,6.1,0.05,3,2,0,-28.289314,1.6790313
18,29,0,1,0,2.4153932501430977,7,238,0.42,296.44,24900.96,3,1,6.5,0.02,3,2,0,-24.039354,49.777775
19,23,0,2,3,3.0774970250978644,7,115,0.23,130.04,10923.36,3,0,1.6,0.05,2,4,0,-21.48149,29.051222
20,57,0,2,1,1.0,14,164,0.24,179.37,30134.16,3,1,3.5,0.14,5,4,0,-42.29181,48.210663
21,37,1,0,0,3.901891137682268,7,281,0.13,103.98,8734.32,1,0,3.1,0.16,3,2,0,29.070864,-36.60025
22,40,0,1,2,8.021463303078427,13,213,0.27,171.13,26696.28,0,1,7.1,0.03,3,2,0,0.99868685,7.9884605
23,22,0,1,3,5.529648484929556,4,293,0.16,168.11,8069.28,3,1,6.3,0.04,3,0,0,-26.581371,44.144127
24,33,1,1,2,2.603276906001806,5,121,0.07,119.0,7140.0,1,2,4.3,0.06,2,1,0,-17.038116,-46.801517
