Product_ID,Brand,Category,Region,Optimal_Price,Optimal_Discount,Predicted_Revenue
34,1,1,2,185,4,5704.12
4,4,0,1,185,4,2468.7
0,2,0,0,195,4,3334.5
44,2,4,0,180,0,2156.56
69,4,1,2,195,28,3703.31
24,2,4,3,190,6,4064.71
85,4,1,2,190,6,2472.18
81,5,2,0,80,20,1557.63
29,4,4,0,190,6,4626.68
11,1,1,0,195,0,2575.56
63,0,3,1,180,4,4787.24
46,3,3,0,185,4,3224.38
7,1,1,3,185,4,6410.7
80,1,1,0,180,18,4861.72
7,1,1,1,185,2,3392.68
98,1,2,3,80,28,1787.39
92,5,1,0,195,24,4623.37
89,4,1,2,180,0,1766.52
24,2,4,1,180,0,4048.55
93,3,2,2,130,16,1949.48
84,3,3,3,95,4,1903.45
94,1,1,2,60,20,1709.88
30,0,3,3,185,4,2041.19
15,3,3,2,185,4,2128.59
46,2,1,3,185,4,4950.26
78,0,2,0,165,0,4245.33
78,1,2,1,175,0,5348.88
73,4,2,1,180,0,3549.59
25,1,1,0,195,12,3375.07
79,0,2,2,145,20,2851.65
43,3,1,0,195,0,1201.93
7,2,4,0,195,0,3856.34
62,0,3,1,130,26,3977.05
99,1,0,3,185,2,3780.26
68,4,4,2,180,0,2931.9
56,5,1,2,190,28,3933.14
25,3,0,1,195,4,4832.02
29,3,0,1,185,4,1711.05
35,0,0,2,140,20,3778.81
40,5,2,0,190,4,3664.02
45,2,4,0,195,0,4348.58
27,0,4,2,195,4,4494.18
79,5,1,0,190,0,2753.59
69,3,0,3,190,6,1964.72
33,3,1,0,190,28,5997.38
63,5,3,1,185,28,4269.65
22,0,0,1,195,2,5929.12
80,5,2,3,185,4,1985.55
97,1,4,2,145,2,3928.53
10,4,3,0,180,0,2750.28
54,5,1,0,190,4,4094.86
92,2,1,0,180,0,2197.1
46,0,0,3,190,6,4009.39
20,4,3,1,190,4,1529.92
97,4,3,2,145,20,3463.01
34,5,3,3,195,0,2371.29
47,5,2,1,65,28,1685.62
67,2,1,2,195,12,2053.93
97,0,3,3,80,4,1992.42
2,1,4,2,150,28,4239.68
85,3,4,0,95,26,1873.08
6,2,2,3,185,18,4892.01
6,4,1,1,185,4,5496.06
12,0,3,3,190,0,1944.12
94,4,2,3,190,6,1690.0
4,1,1,3,190,6,2210.01
17,2,3,0,190,0,4531.14
64,1,0,3,170,0,5335.07
54,2,4,2,185,4,1946.39
58,2,2,3,185,6,4189.15
27,5,0,2,195,4,2179.57
95,5,3,0,190,6,1670.27
16,5,1,2,150,28,2856.58
90,0,0,1,190,6,2092.61
17,3,4,1,195,0,5300.59
13,2,0,1,185,28,4539.83
2,3,2,3,185,4,4373.59
77,5,4,2,190,0,4444.81
69,0,4,3,180,0,2396.87
31,0,1,2,195,6,5302.73
82,1,0,1,170,0,5050.32
53,5,4,0,185,4,1024.25
75,5,4,0,190,0,3360.75
98,1,1,3,170,28,3590.47
81,3,3,0,190,6,3354.09
14,5,1,3,195,4,4104.37
36,0,1,3,185,4,3687.71
64,5,1,3,185,4,1344.85
31,0,3,1,185,4,2735.17
69,1,3,1,70,26,1624.77
63,3,1,3,80,20,2138.87
75,0,2,0,180,6,4525.42
93,1,1,3,55,6,1442.6
55,5,1,2,110,4,3221.12
96,3,3,2,120,4,2782.51
5,4,3,3,190,4,1366.73
1,2,3,3,190,6,2582.19
68,1,4,0,55,24,984.21
53,0,0,1,180,0,2584.35
52,4,0,3,55,4,1648.5
79,4,0,2,65,20,1984.94
85,2,4,2,65,4,1081.51
81,3,3,0,80,20,1606.77
44,4,2,0,180,0,4079.9
71,2,4,2,180,0,1813.84
86,5,0,1,135,26,3462.49
94,2,0,0,95,4,1986.91
65,1,2,0,100,18,2289.02
1,5,0,3,195,4,4134.77
66,2,4,0,190,6,1382.57
58,4,4,2,185,4,3594.06
7,0,0,0,190,0,3117.58
46,5,3,3,170,28,1900.35
30,1,4,3,185,4,2798.65
68,3,1,0,170,0,4939.38
82,0,2,0,75,18,1737.37
74,2,0,2,185,4,1456.08
16,1,4,1,180,0,6436.22
28,5,4,3,185,4,6039.51
63,3,2,2,185,4,2544.07
78,3,3,1,180,0,877.05
76,1,0,0,180,26,4450.24
5,3,4,3,190,28,5545.95
50,3,4,0,190,6,3775.3
